title_name;title_id;runtime;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;age_rating;genre_drama;genre_comedy;genre_thriller;genre_action;genre_adventure;genre_romance;genre_crime;genre_fantasy;genre_family;genre_scifi;genre_mystery;genre_horror;genre_other;language_english;language_spanish;language_french;language_other;weekday_friday;weekday_wednesday;weekday_thursday;weekday_other;roi;tickets_sold
zootopia;tt2948356;108;10;2;2016;1023784195;341268248;682515947;75063401;150000000;2;False;True;False;False;True;False;True;False;True;False;True;False;True;True;False;False;False;False;True;False;False;5.825227966666667;39452976
the hobbit an unexpected journey;tt0903624;169;12;12;2012;1017003568;303003568;714000000;84617303;180000000;3;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;False;False;True;False;False;4.650019822222222;38065774
the dark knight;tt0468569;152;16;7;2008;1004934033;535234033;469700000;158411483;185000000;3;True;False;True;True;False;False;True;False;False;False;False;False;False;True;False;False;True;False;True;False;False;4.432075854054054;74545129
harry potter and the sorcerers stone;tt0241527;152;16;11;2001;978087613;318087620;659999992;90294621;125000000;2;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;6.824700904;56199226
harry potter and the deathly hallows part 1;tt0926084;146;17;11;2010;976920103;296347721;680572381;125017372;250000000;3;False;False;False;False;True;False;False;True;True;False;True;False;False;True;False;False;False;False;True;False;False;2.907680412;37559913
despicable me 2;tt1690953;98;20;6;2013;970766005;368065385;602700620;83517315;76000000;2;False;True;False;False;True;False;False;True;True;True;False;False;True;True;False;False;True;False;False;True;False;11.773236907894736;45272495
the jungle book;tt3040964;106;7;4;2016;966550600;364001123;602549477;103261464;175000000;2;True;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;False;False;False;True;False;4.523146285714286;42081054
jumanji welcome to the jungle;tt2283362;119;20;12;2017;962102237;404540171;557562066;36169328;90000000;3;False;True;False;True;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;9.690024855555556;45099238
pirates of the caribbean at worlds end;tt0449088;169;22;5;2007;960996492;309420425;651576067;114732820;300000000;3;False;False;False;True;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;True;2.20332164;44973898
the hobbit the desolation of smaug;tt1170358;161;11;12;2013;958366855;258366855;700000000;73645197;191200000;3;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;4.01237894874477;31779440
the hobbit the battle of the five armies;tt2310332;144;10;12;2014;956019788;255119788;700900000;54724334;250000000;3;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;2.824079152;31226412
the lord of the rings the two towers;tt0167261;179;18;12;2002;951208089;342551365;608656724;62007528;94000000;3;True;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;9.119234989361702;58958926
harry potter and the order of the phoenix;tt0373889;138;11;7;2007;942044510;292353413;649691096;77108414;150000000;3;False;False;False;True;True;False;False;True;True;False;True;False;False;True;False;False;False;False;True;False;False;5.2802967333333335;42493228
finding nemo;tt0266543;100;30;5;2003;940343261;380843261;559500000;70251710;94000000;1;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;9.003651712765958;63158086
harry potter and the halfblood prince;tt0417741;153;15;7;2009;934326396;302305431;632020964;77835727;250000000;2;False;False;False;True;True;False;False;True;True;False;True;False;False;True;False;False;False;False;True;False;False;2.737305584;40307390
shrek 2;tt0298148;93;19;5;2004;928760770;441226247;487534523;108037878;150000000;2;False;True;False;False;True;True;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;5.191738466666667;71050925
bohemian rhapsody;tt1727824;134;26;10;2018;903655259;216428042;687227217;51061119;52000000;3;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;True;True;False;False;False;16.37798575;23757194
harry potter and the goblet of fire;tt0330373;157;16;11;2005;896346229;290417905;605928323;102685961;150000000;3;False;False;False;False;True;False;False;True;True;False;True;False;False;True;False;True;False;False;True;False;False;4.975641526666666;45307005
spiderman 3;tt0413300;139;1;5;2007;894983373;336530303;558453070;151116516;258000000;3;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;2.4689278023255814;48914288
the lord of the rings the fellowship of the ring;tt0120737;178;19;12;2001;887832826;315544750;572288076;47211490;93000000;3;True;False;False;True;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;8.54658952688172;55749955
ice age dawn of the dinosaurs;tt1080016;94;29;6;2009;886686817;196573705;690113112;41690382;90000000;2;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;True;8.852075744444445;26209827
spectre;tt2379713;148;26;10;2015;880674609;200074609;680600000;70403148;245000000;3;False;False;True;True;True;False;False;False;False;False;False;False;False;True;True;True;True;False;False;False;True;2.5945902408163266;23733642
spiderman homecoming;tt2250912;133;5;7;2017;880166924;334201140;545965784;117027503;175000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;True;False;False;False;True;False;False;4.02952528;37257652
harry potter and the chamber of secrets;tt0295297;161;14;11;2002;879465594;262450136;617015457;88357488;100000000;2;False;False;False;False;True;False;False;True;True;False;True;False;False;True;False;False;False;False;False;True;False;7.79465594;45172140
ice age continental drift;tt1667889;88;27;6;2012;877244782;161321843;715922939;46629259;95000000;2;True;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;8.2341556;20266563
the secret life of pets;tt2709768;87;24;6;2016;875457937;368384330;507073607;104352905;75000000;2;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;10.672772493333333;42587783
batman v superman dawn of justice;tt2975590;151;23;3;2016;873634919;330360194;543274725;166007347;250000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;2.494539676;38191929
star wars episode iii  revenge of the sith;tt0121766;140;18;5;2005;868390560;380270577;488119983;108435841;113000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;False;True;False;False;6.68487221238938;59324582
the hunger games catching fire;tt1951264;146;15;11;2013;865011746;424668047;440343699;158074286;130000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;5.653936507692308;52234692
guardians of the galaxy vol 2;tt3896198;136;25;4;2017;863756051;389813101;473942950;146510104;200000000;3;False;True;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;True;3.318780255;43457424
inside out;tt2096673;95;10;6;2015;857611174;356461711;501149463;90440272;175000000;2;True;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;3.90063528;42284900
venom;tt1270797;112;3;10;2018;856085151;213515506;642569645;80255756;100000000;3;False;False;True;True;False;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;7.56085151;23437486
thor ragnarok;tt3501632;130;24;10;2017;853977126;315058289;538918837;122744989;180000000;3;False;True;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;False;False;False;True;3.7443173666666665;35123555
